id_local,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,Xlong,Ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm
278,Parking de covoiturage Aire du Loiret,A19 Sortie 6 Auxy-Beaunes-la Rolande,Beaune-la-Rolande,45030,Aire de covoiturage,2026-03-24,true,512377060,2.473136,48.084691,34,1,,24/7,ARCOUR,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, toilettes, station vélo, )"
284,Parking de covoiturage Luigny,A11 Sortie 4 Brou,Luigny,28219,Aire de covoiturage,2026-03-24,true,512377060,1.03370372,48.23458334,9,0,,24/7,COFIROUTE,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, toilettes, borne de recharge pour véhicules électriques, )"
318,Parking de covoiturage Ittenheim,A355 Sortie 2 Ittenheim,Ittenheim,67226,Aire de covoiturage,2026-03-24,true,512377060,7.62046084,48.60225605,100,2,,24/7,ARCOS,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, borne de recharge pour véhicules électriques, arrêt de transport collectif )"
319,Parking de covoiturage La Saulce,A51 Sortie 24 La Saulce,La Saulce,05162,Aire de covoiturage,2026-03-24,true,512377060,6.0273429,44.4425508,43,2,,24/7,ESCOTA,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, arrêt de transport collectif )"
320,Parking de covoiturage Sisteron Nord,A51 Sortie 23 Sisteron Nord,Sisteron,04200,Aire de covoiturage,2026-03-24,true,512377060,5.914569,44.224084,44,2,,24/7,ESCOTA,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, arrêt de transport collectif )"
327,Parking de covoiturage Manosque,A51 Sortie 18 Manosque,Manosque,04112,Aire de covoiturage,2026-03-24,true,512377060,5.811568,43.808712,75,5,,24/7,ESCOTA,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, ombrières, station vélo, arrêt de transport collectif )"
328,Parking de covoiturage La Bédoule,A50 Sortie 7 La Bédoule,Roquefort-la-Bédoule,13085,Aire de covoiturage,2026-03-24,true,512377060,5.593414,43.243545,59,2,,24/7,ESCOTA,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
237-a,Parking de covoiturage Ablis,A11 Sortie 1 Ablis,Ablis,78003,Aire de covoiturage,2026-03-24,true,512377060,1.831500,48.529367,76,2,,24/7,COFIROUTE,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
240-a,Parking de covoiturage Blois,A10 Sortie 17 Blois,La Chaussée-Saint-Victor,41047,Aire de covoiturage,2026-03-24,true,512377060,1.346802,47.621334,72,2,,24/7,COFIROUTE,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, borne de recharge pour véhicules électriques, )"
241-a,Parking de covoiturage Château-Renault,A10 Sortie 18 Château-Renault,Auzouer-en-Touraine,37010,Aire de covoiturage,2026-03-24,true,512377060,0.983742,47.542721,46,0,,24/7,COFIROUTE,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, borne de recharge pour véhicules électriques, )"
244-a,Parking de covoiturage Bléré,A85 Sortie 11 Bléré,Sublaines,37253,Aire de covoiturage,2026-03-24,true,512377060,0.988488,47.286603,41,1,,24/7,COFIROUTE,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, borne de recharge pour véhicules électriques, )"
248-a,Parking de covoiturage Ancenis Sud,A11 Sortie 20 Ancenis,Ancenis-Saint-Géréon,44003,Aire de covoiturage,2026-03-24,true,512377060,-1.191337,47.399801,65,2,,24/7,COFIROUTE,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, borne de recharge pour véhicules électriques, )"
254-a,Parking de covoiturage Allaines,A10 Sortie 12 Janville,Janville-en-Beauce,28199,Aire de covoiturage,2026-03-24,true,512377060,1.846082,48.206144,29,1,,24/7,COFIROUTE,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, toilettes, )"
326-a,Parking de covoiturage Peyruis,A51 Sortie 20 Peyruis,Peyruis,04149,Aire de covoiturage,2026-03-24,true,512377060,5.960759,44.038156,50,3,,24/7,ESCOTA,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, arrêt de transport collectif )"
329-a,Parking de covoiturage Les Adrets,A8 Sortie 39 Les Adrets,Les Adrets-de-l'Estérel,83001,Aire de covoiturage,2026-03-24,true,512377060,6.812155,43.543794,44,2,,24/7,ESCOTA,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, arrêt de transport collectif )"
